diagram_id,page,segment,num_models,cuts_agreement,cuts_values,lines_agreement,lines_values,spots_agreement,spots_values
D._Logic__hou02614c00458__seq13.jpg_0,D._Logic__hou02614c00458__seq13.jpg,0,3,True,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 3, Gemma 3 27B: 2"
D._Logic__hou02614c00458__seq13.jpg_1,D._Logic__hou02614c00458__seq13.jpg,1,4,True,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 3, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 3"
D._Logic__hou02614c00458__seq15.jpg_0,D._Logic__hou02614c00458__seq15.jpg,0,4,True,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 2",True,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 3, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 3"
D._Logic__hou02614c00458__seq15.jpg_1,D._Logic__hou02614c00458__seq15.jpg,1,3,True,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 3",True,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 3, Gemma 3 27B: 3"
D._Logic__hou02614c00458__seq15.jpg_12,D._Logic__hou02614c00458__seq15.jpg,12,4,False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 1",True,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2"
D._Logic__hou02614c00458__seq15.jpg_14,D._Logic__hou02614c00458__seq15.jpg,14,4,False,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 4, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 4",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 4, Qwen 2.5 VL 72B: 3",False,"Claude Sonnet 4.5: 4, Gemini 3 Pro: 6, Gemma 3 27B: 6, Qwen 2.5 VL 72B: 5"
D._Logic__hou02614c00458__seq15.jpg_3,D._Logic__hou02614c00458__seq15.jpg,3,4,False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 1, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 3, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 3"
D._Logic__hou02614c00458__seq15.jpg_8,D._Logic__hou02614c00458__seq15.jpg,8,4,False,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 2, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 2, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 1",False,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 4, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 4"
D._Logic__hou02614c00458__seq617.jpg_0,D._Logic__hou02614c00458__seq617.jpg,0,3,True,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 2",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 1, Gemma 3 27B: 3",False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 3, Gemma 3 27B: 3"
D._Logic__hou02614c00458__seq617.jpg_1,D._Logic__hou02614c00458__seq617.jpg,1,4,False,"Claude Sonnet 4.5: 2, Gemini 3 Pro: 2, Gemma 3 27B: 2, Qwen 2.5 VL 72B: 3",False,"Claude Sonnet 4.5: 1, Gemini 3 Pro: 2, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 2",True,"Claude Sonnet 4.5: 3, Gemini 3 Pro: 3, Gemma 3 27B: 3, Qwen 2.5 VL 72B: 3"
