diagram_id,page,segment,model,cuts_count,cuts_nested,lines_count,lines_branching,spots_count,spots_labels
D._Logic__hou02614c00458__seq13.jpg_0,D._Logic__hou02614c00458__seq13.jpg,0,Claude Sonnet 4.5,1,False,1,False,2,many|man wounded
D._Logic__hou02614c00458__seq13.jpg_0,D._Logic__hou02614c00458__seq13.jpg,0,Gemini 3 Pro,1,False,1,False,3,man|man|wounded
D._Logic__hou02614c00458__seq13.jpg_0,D._Logic__hou02614c00458__seq13.jpg,0,Gemma 3 27B,1,False,2,True,2,many|wounded man
D._Logic__hou02614c00458__seq13.jpg_1,D._Logic__hou02614c00458__seq13.jpg,1,Claude Sonnet 4.5,1,False,1,False,2,man|wounded
D._Logic__hou02614c00458__seq13.jpg_1,D._Logic__hou02614c00458__seq13.jpg,1,Gemini 3 Pro,1,False,1,True,3,man|man|wounded
D._Logic__hou02614c00458__seq13.jpg_1,D._Logic__hou02614c00458__seq13.jpg,1,Gemma 3 27B,1,False,2,True,2,man|wounded
D._Logic__hou02614c00458__seq13.jpg_1,D._Logic__hou02614c00458__seq13.jpg,1,Qwen 2.5 VL 72B,1,False,1,False,3,man-|man|wounded
D._Logic__hou02614c00458__seq15.jpg_0,D._Logic__hou02614c00458__seq15.jpg,0,Claude Sonnet 4.5,2,True,1,True,3,man|disgraced|wounded
D._Logic__hou02614c00458__seq15.jpg_0,D._Logic__hou02614c00458__seq15.jpg,0,Gemini 3 Pro,2,True,1,True,3,man|man disgraced|wounded
D._Logic__hou02614c00458__seq15.jpg_0,D._Logic__hou02614c00458__seq15.jpg,0,Gemma 3 27B,2,True,3,True,3,man|manglisgrace|wounded
D._Logic__hou02614c00458__seq15.jpg_0,D._Logic__hou02614c00458__seq15.jpg,0,Qwen 2.5 VL 72B,2,True,2,True,3,man|disgraced|wounded
D._Logic__hou02614c00458__seq15.jpg_1,D._Logic__hou02614c00458__seq15.jpg,1,Claude Sonnet 4.5,2,True,1,False,3,man|disgraces|wounds
D._Logic__hou02614c00458__seq15.jpg_1,D._Logic__hou02614c00458__seq15.jpg,1,Gemini 3 Pro,2,True,1,True,3,man|disgraced|wounded
D._Logic__hou02614c00458__seq15.jpg_1,D._Logic__hou02614c00458__seq15.jpg,1,Gemma 3 27B,2,True,3,True,3,man|disgrace|wounded
D._Logic__hou02614c00458__seq15.jpg_12,D._Logic__hou02614c00458__seq15.jpg,12,Claude Sonnet 4.5,1,False,1,False,2,mass|hounded
D._Logic__hou02614c00458__seq15.jpg_12,D._Logic__hou02614c00458__seq15.jpg,12,Gemini 3 Pro,1,False,1,False,2,man|wounded
D._Logic__hou02614c00458__seq15.jpg_12,D._Logic__hou02614c00458__seq15.jpg,12,Gemma 3 27B,2,True,2,True,2,man|wounded
D._Logic__hou02614c00458__seq15.jpg_12,D._Logic__hou02614c00458__seq15.jpg,12,Qwen 2.5 VL 72B,1,False,1,False,2,man|wounded
D._Logic__hou02614c00458__seq15.jpg_14,D._Logic__hou02614c00458__seq15.jpg,14,Claude Sonnet 4.5,3,True,2,False,4,wounded|disgraced|wounded|wounded
D._Logic__hou02614c00458__seq15.jpg_14,D._Logic__hou02614c00458__seq15.jpg,14,Gemini 3 Pro,4,True,2,True,6,man|wounded|man|man|disgraced|wounded
D._Logic__hou02614c00458__seq15.jpg_14,D._Logic__hou02614c00458__seq15.jpg,14,Gemma 3 27B,3,True,4,True,6,man|wounded|mant|disgracer|mant|wormded
D._Logic__hou02614c00458__seq15.jpg_14,D._Logic__hou02614c00458__seq15.jpg,14,Qwen 2.5 VL 72B,4,True,3,False,5,man|wounded|man|disgraces|wounded
D._Logic__hou02614c00458__seq15.jpg_3,D._Logic__hou02614c00458__seq15.jpg,3,Claude Sonnet 4.5,2,True,1,False,2,man - disgraced|wounded
